,PRBodySize,CommitSize,No_of_Files_Changed,socialDistance,No_of_Comments,timeSpentOnPR,repositoryAge,No_of_collaborators,No_of_Stars,No_of_Watchers,No_of_OpenIssues,No_of_followers_Submitter,submitterStatus,pullrequestDecision
0,178,33,1,0,0,6,2156,30,583,583,22,7,1,1
1,89,4,2,0,2,0,1219,30,3109,3109,194,-1,0,1
2,25,122,4,0,6,0,153,30,9,9,21,30,1,1
3,2087,2,1,0,12,0,309,30,2458,2458,269,30,1,0
4,45,18,2,0,4,0,153,30,9,9,20,-1,0,1
5,0,174,7,0,0,0,1438,5,38,38,26,3,1,1
6,38,12,1,0,0,0,1464,30,2684,2684,1318,30,0,1
7,0,349,65,0,0,0,230,30,8,8,0,1,0,1
8,9,12,1,0,0,27,1996,30,377,377,24,30,1,1
9,0,16,4,0,1,0,448,30,150,150,13,30,0,1
10,131,75,5,0,3,0,439,30,34,34,13,30,1,1
11,283,31,2,0,0,0,393,30,246,246,195,30,0,1
12,0,4,2,0,0,0,614,30,293,293,308,6,1,1
13,217,65,5,0,1,1,1249,30,76093,76093,118,30,1,1
14,0,10,1,0,0,0,0,30,32,32,10,24,0,1
15,31,3,1,0,2,0,1250,30,76093,76093,115,30,1,1
16,762,402,5,0,2,16,802,19,30,30,15,30,1,1
17,29,4,1,0,1,0,1250,30,76093,76093,113,30,1,1
18,97,187,2,0,1,9,196,30,458,458,6,-1,0,1
19,81,253,8,0,1,4,342,11,33,33,19,30,1,1
20,89,2,1,0,0,93,1039,16,497,497,13,0,0,0
21,0,169,7,0,1,0,145,30,38,38,16,30,1,1
22,0,21,1,0,0,0,416,13,11,11,42,22,1,1
23,327,6,1,0,1,0,1834,30,2196,2196,25,30,1,1
24,58,30,1,0,3,0,151,30,22,22,17,4,1,1
25,0,6,2,0,1,0,714,30,50,50,49,30,1,1
26,0,105,4,0,5,0,1107,30,2181,2181,228,30,1,1
27,18,11,1,0,1,0,567,30,12,12,3,20,1,1
28,253,1,1,0,0,0,230,30,8,8,0,1,0,1
29,627,3,1,0,0,0,973,6,14,14,4,30,1,1
30,0,11,1,0,2,0,440,30,361,361,16,30,1,1
31,9,6,1,0,4,0,631,14,24,24,5,-1,0,1
32,54,141,5,0,14,2,151,30,9,9,19,-1,0,1
33,58,64,5,0,4,0,153,30,9,9,18,30,1,1
34,5,48,2,0,3,23,885,30,4106,4106,44,19,1,0
35,0,52,4,0,1,105,868,6,14,14,3,27,1,0
36,41,2,1,0,1,389,584,6,14,14,2,25,0,0
37,109,4,1,0,1,14,894,30,4106,4106,43,7,1,1
38,487,51,1,0,0,0,1,9,6,6,3,9,1,1
39,1015,300,7,0,3,7,538,30,407,407,139,0,0,1
40,88,51,2,0,0,0,908,30,4106,4106,41,30,1,1
41,137,67,3,0,2,481,492,6,14,14,1,25,0,0
42,1013,665,2,0,13,1,1074,30,172,172,619,0,1,1
43,218,32,3,0,0,0,652,15,124,124,6,30,1,1
44,260,445,11,0,0,0,651,15,124,124,5,30,1,1
45,57,4,1,0,1,0,867,30,1305,1305,63,0,0,1
46,121,77,6,0,0,0,1801,5,3,3,64,30,1,1
47,235,1338,28,-1,6,9,688,18,16,16,33,2,1,0
48,334,50,11,0,30,39,1372,30,2132,2132,442,30,1,1
49,378,87,3,0,9,2,1072,30,172,172,617,6,1,1
50,0,15,2,0,2,2,394,30,95,95,10,30,1,1
51,59,367,2,0,0,0,1052,30,4519,4519,492,20,1,1
52,1025,15,2,0,0,0,626,24,50,50,8,30,1,1
53,223,90,1,0,7,22,407,6,34,34,3,30,1,0
54,0,403,14,0,0,0,57,11,5,5,13,15,1,1
55,43,577,16,0,0,0,210,30,340,340,93,0,0,1
56,0,30,1,0,0,10,200,30,340,340,92,1,0,0
57,136,7,2,0,13,1,308,30,2458,2458,268,30,1,0
58,0,0,9,0,1,10,200,30,340,340,91,17,1,1
59,0,14,7,0,0,0,614,30,189,189,30,10,1,1
60,193,87,4,0,9,2,1616,30,2443,2443,102,30,1,1
61,288,127,6,0,10,0,309,30,2458,2458,267,30,1,0
62,695,10,1,0,2,0,398,30,21,21,12,30,1,1
63,0,87,54,0,0,0,586,2,3,3,9,30,1,1
64,97,7,1,0,0,0,189,30,249,249,185,29,1,1
65,0,164,1,0,0,0,189,30,249,249,185,5,1,1
66,0,7097,1,0,0,0,161,30,46,46,7,0,1,1
67,47,15,1,0,0,0,582,10,5,5,18,8,1,1
68,0,1,1,-1,2,15,683,18,16,16,32,2,1,1
69,190,2,1,0,0,1,1074,30,172,172,617,1,0,1
70,0,538,1,0,3,330,1176,30,255,255,5,0,0,0
71,4,10,1,0,1,359,1147,30,255,255,4,1,0,0
